Date;Temperature;Weather;Wind direction;Wind speed;Humidity
Dec 18 21:50;4C;overcast;W;7;95%
Dec 18 21:20;4C;overcast;W;7;95%
Dec 18 20:50;4C;overcast;W;7;85%
Dec 18 20:20;5C;overcast;W;9;85%
Dec 18 19:50;5C;overcast;W;9;85%
Dec 18 19:20;5C;overcast;W;9;85%
Dec 18 18:50;5C;overcast;W;9;85%
Dec 18 18:20;5C;overcast;VRB;2;85%
Dec 18 17:50;5C;overcast;NW;7;85%
Dec 18 17:20;5C;overcast;N;9;85%
Dec 18 16:50;5C;overcast;N;6;95%
Dec 18 16:20;5C;overcast;NE;7;95%
Dec 18 15:50;6C;overcast;N;9;85%
Dec 18 15:20;6C;overcast;N;6;85%
Dec 18 15:00;5C;overcast;N;6;88%
Dec 18 14:50;6C;cloudy;N;7;85%
Dec 18 14:20;6C;cloudy;N;6;85%
Dec 18 13:50;6C;cloudy;N;7;85%
Dec 18 13:20;6C;cloudy;N;13;85%
Dec 18 12:50;6C;cloudy;N;13;85%
Dec 18 12:20;6C;cloudy;N;11;95%
Dec 18 11:50;6C;cloudy;N;13;95%
Dec 18 11:20;6C;cloudy;N;9;95%
Dec 18 10:50;6C;cloudy;N;13;95%
Dec 18 10:20;6C;cloudy;N;13;95%
Dec 18 09:50;6C;cloudy haze;NW;7;95%
Dec 18 09:20;6C;cloudy haze;NW;6;95%
Dec 18 08:50;6C;cloudy;NW;7;95%
Dec 18 08:20;6C;cloudy;NW;7;95%
Dec 18 07:50;6C;cloudy haze;W;7;95%
Dec 18 07:20;5C;cloudy haze;W;7;95%
Dec 18 06:50;5C;overcast haze;SW;7;95%
Dec 18 06:20;5C;cloudy;W;9;95%
Dec 18 05:50;5C;cloudy;W;9;95%
Dec 18 05:20;5C;cloudy haze;W;9;95%
Dec 18 04:50;5C;cloudy haze;W;11;95%
Dec 18 04:20;5C;clouds;W;9;95%
Dec 18 03:50;5C;light rain;W;7;95%
Dec 18 03:20;5C;light rain;W;9;95%
Dec 18 02:50;6C;clouds;W;11;95%
Dec 18 00:50;5C;cloudy haze;W;22;95%
Dec 18 00:20;5C;cloudy haze;SW;19;95%
Dec 17 23:50;5C;drizzle;W;19;95%
Dec 17 23:20;5C;drizzle;SW;19;95%
Dec 17 22:50;5C;drizzle;W;19;95%
Dec 17 22:20;5C;cloudy haze;SW;17;95%
Dec 17 21:50;5C;drizzle;SW;20;95%
Dec 17 21:20;5C;drizzle;W;20;95%
Dec 17 20:50;5C;drizzle;SW;19;85%
Dec 17 20:20;5C;cloudy haze;W;19;95%
Dec 17 19:50;4C;cloudy haze;SW;19;95%
Dec 17 19:20;4C;cloudy;SW;15;95%
Dec 17 18:50;4C;cloudy haze;SW;17;95%
Dec 17 18:20;4C;cloudy haze;W;17;95%
Dec 17 17:50;4C;cloudy haze;SW;17;95%
Dec 17 17:20;4C;cloudy haze;SW;15;95%
Dec 17 16:50;3C;cloudy haze;SW;13;95%
Dec 17 16:20;3C;cloudy haze;SW;9;95%
Dec 17 15:50;3C;cloudy haze;SW;9;95%
Dec 17 15:20;2C;cloudy haze;SW;9;95%
Dec 17 14:50;2C;cloudy haze;W;11;95%
Dec 17 14:20;2C;cloudy haze;W;11;95%
Dec 17 13:50;2C;overcast haze;W;11;95%
Dec 17 13:20;1C;fog;SW;9;100%
Dec 17 12:50;1C;fog;SW;4;95%
Dec 17 12:20;0C;overcast haze;SW;6;95%
Dec 17 11:50;0C;overcast haze;SW;6;95%
Dec 17 11:20;0C;cloudy haze;SW;6;95%
Dec 17 10:50;0C;cloudy haze;W;4;95%
Dec 17 10:20;0C;cloudy haze;NW;4;95%
Dec 17 09:50;0C;overcast;NW;9;95%
